"","aspen.presence","aspen.prob","cell","x","y","tpi3","tpi15","hli","elev","pH","clay","om","thetas","ADI","PRATIO","DD_0","GSP","TD","RH"
"5151","1",0.148148149251938,33097376,253115,4219095,-0.0967367887496948,-0.874369382858276,0.686313927173615,2561.2197265625,6.88664484024048,25.5425090789795,0.474735915660858,0.515734851360321,0.0624847412109375,0.516144812107086,588.094909667969,312.974670410156,20.8579635620117,46.7427444458008
"5152","1",0.382716059684753,26793746,254465,4318365,0.263720750808716,2.50089764595032,0.785621285438538,2591.78002929688,6.82721185684204,22.817928314209,0.54440426826477,0.522822856903076,0.0584093071520329,0.432889968156815,634.10888671875,301.809143066406,22.8010349273682,55.0263137817383
"5153","1",0.0617283955216408,16891031,378665,4474335,-0.149188756942749,-1.70552277565002,0.754926145076752,2687.70678710938,6.08036470413208,19.237398147583,0.116636484861374,0.515939354896545,0.0545545481145382,0.486807942390442,1029.2353515625,283.45068359375,22.2232036590576,48.9174613952637
"5154","1",0.666666686534882,18638647,273005,4446795,-0.463189959526062,-11.928337097168,0.685723006725311,2554.34887695312,6.5478835105896,18.3801403045654,0.649906933307648,0.521894872188568,0.0575071610510349,0.471755027770996,646.805480957031,315.602691650391,21.8838787078857,56.1408309936523
"5155","1",0.172839507460594,34594265,213425,4195515,-0.419084280729294,-4.93009471893311,0.832823932170868,3120.37036132812,6.29617261886597,19.2962684631348,0.659803092479706,0.543874621391296,0.0352311506867409,0.449430853128433,854.8037109375,385.690765380859,19.1538925170898,50.4578819274902
"5156","1",0.271604925394058,19502223,327995,4433205,0.193866774439812,2.82227897644043,0.629470765590668,3054.12817382812,6.06528759002686,14.2895021438599,0.6314777135849,0.520038485527039,0.0290127359330654,0.40749916434288,1110.53393554688,401.286712646484,21.1019134521484,49.726749420166
"5157","1",0.185185179114342,23919127,256805,4363635,0.899203658103943,19.9886875152588,0.830916166305542,3104.212890625,6.16688585281372,18.9255180358887,1.00426626205444,0.549351096153259,0.0349702723324299,0.42551326751709,1003.82800292969,363.946929931641,20.6600894927979,57.8412284851074
"5158","1",1,27771655,312425,4302975,0.500890254974365,4.28263187408447,0.642090618610382,2755.08520507812,6.48272657394409,19.7664756774902,0.49279060959816,0.524039387702942,0.0422769710421562,0.412390261888504,754.851318359375,343.608245849609,21.661470413208,52.4990921020508
"5159","1",0.0864197537302971,49443404,354635,3961695,-1.50574862957001,-9.55449390411377,0.715949237346649,2564.93041992188,6.27740335464478,14.6460733413696,0.34311854839325,0.501928627490997,0.0727802589535713,0.53661972284317,320.351959228516,322.486236572266,19.7302761077881,56.9055862426758
"5160","1",0.790123462677002,18798758,281195,4444275,0.783070147037506,6.6418399810791,0.770603537559509,2910.48266601562,6.47929763793945,18.2867870330811,0.681654274463654,0.521750509738922,0.0396481864154339,0.434347718954086,855.185607910156,365.616943359375,20.9516773223877,54.4968147277832
"5161","1",0.0617283955216408,27908783,309545,4300815,1.29260969161987,17.8592071533203,0.835139513015747,3090.5322265625,6.32022190093994,18.4575805664062,0.50822126865387,0.52002477645874,0.0352952107787132,0.402628809213638,911.294738769531,367.632415771484,21.118371963501,54.0167808532715
"5162","1",0.901234567165375,27537282,307205,4306665,-0.408718854188919,-0.193438559770584,0.577646851539612,2827.287109375,6.28840494155884,24.9876937866211,0.536686897277832,0.52126008272171,0.0422509759664536,0.412987768650055,778.867858886719,345.417907714844,21.4864521026611,54.514232635498
"5163","1",0.518518507480621,39475992,313955,4118655,0.165877968072891,9.9509220123291,0.772688806056976,2551.87744140625,6.49477481842041,16.6638298034668,0.313696086406708,0.473447948694229,0.0640494748950005,0.49650052189827,451.231170654297,323.758422851562,22.017391204834,52.9637794494629
"5164","1",0.0617283955216408,27042041,483965,4314495,0.0567538626492023,1.147301197052,0.730416357517242,2771.49584960938,5.90682363510132,16.1036911010742,0.39228293299675,0.50868546962738,0.0709484666585922,0.74128782749176,596.696655273438,370.306640625,19.9807682037354,50.5372085571289
"5165","1",0.111111111938953,48797636,357065,3971865,-1.65656054019928,-13.3774662017822,0.90093469619751,2706.32788085938,5.9636697769165,13.9057874679565,0.353200197219849,0.50669264793396,0.0602289624512196,0.511545121669769,402.864593505859,346.437652587891,19.4846782684326,56.4322700500488
"5166","1",0.370370358228683,20142832,375605,4423125,0.446697562932968,5.69833850860596,0.865046381950378,2805.1572265625,6.12726211547852,14.5799016952515,0.70264607667923,0.505024254322052,0.061128281056881,0.494392901659012,903.634155273438,267.185302734375,21.6815891265869,51.7178649902344
"5167","1",0.740740716457367,17941767,304505,4457775,0.0692241415381432,-0.743478894233704,0.668052315711975,2322.66479492188,6.48231077194214,18.6398105621338,0.510065615177155,0.510099470615387,0.0550410896539688,0.483613610267639,779.599487304688,331.02001953125,23.1876316070557,48.5256690979004
"5168","1",0.0370370373129845,15656122,336455,4493775,-0.348415464162827,-7.20860195159912,0.75567615032196,2114.93920898438,6.66402387619019,20.9669132232666,0.543649077415466,0.523802578449249,0.0657108053565025,0.458186835050583,830.932434082031,273.423980712891,25.0608215332031,46.0973701477051
"5169","1",0.592592597007751,19783640,452375,4428795,-0.862032294273376,-13.6794137954712,0.741407454013824,2927.94750976562,5.90248394012451,9.12996864318848,0.446147739887238,0.540098071098328,0.0394733883440495,0.554135978221893,895.918334960938,429.33837890625,20.0739192962646,56.0253105163574
"5170","1",0.716049373149872,31680810,320975,4241415,0.23625360429287,3.60654997825623,0.766174495220184,3037.0927734375,6.20635557174683,16.7551689147949,0.795170783996582,0.533330321311951,0.0866784229874611,0.557027876377106,893.796936035156,224.47346496582,22.6937484741211,53.5509719848633
"5171","1",0.938271582126617,31634689,284885,4242135,0.294752657413483,5.9472541809082,0.899599969387054,2705.76025390625,6.63656711578369,17.3219127655029,0.138306707143784,0.513170719146729,0.0645661726593971,0.502688586711884,723.746032714844,286.100860595703,21.7669410705566,48.2978134155273
"5172","1",0.0123456791043282,46295797,476855,4011285,0.118001811206341,12.000054359436,0.775106549263,2711.32153320312,6.3655309677124,13.0912408828735,0.276594400405884,0.491285473108292,0.0626455023884773,0.658273816108704,516.589660644531,386.954772949219,19.266508102417,49.240608215332
"5173","1",1,39562007,340055,4117305,-0.26553338766098,-5.82432270050049,0.710270285606384,2617.00732421875,6.31006860733032,18.8437614440918,0.66299319267273,0.549826145172119,0.0516211800277233,0.4554762840271,693.792297363281,328.936309814453,21.9009799957275,49.3837127685547
"5174","1",0.80246913433075,31846079,279035,4238805,0.478082299232483,3.53434133529663,0.9103684425354,2800.32104492188,6.40313243865967,22.9760684967041,0.621559679508209,0.52769535779953,0.0555563531816006,0.499441027641296,755.868591308594,316.990783691406,21.0802898406982,48.5787315368652
"5175","1",0.592592597007751,37967005,293525,4142415,-0.0482754670083523,17.1344146728516,0.857606053352356,2736.97607421875,6.09686040878296,19.715160369873,0.705596745014191,0.581315159797668,0.0494447611272335,0.494609206914902,602.773376464844,372.890411376953,20.9892559051514,51.4068222045898
"5176","1",0.679012358188629,36131571,210815,4171305,0.133520796895027,6.84262084960938,0.762525677680969,2798.68896484375,6.52807998657227,16.779842376709,0.706141948699951,0.543492257595062,0.054774034768343,0.473336786031723,589.566589355469,317.77197265625,20.3425846099854,49.8785438537598
"5177","1",0.0493827164173126,27056961,283715,4314225,0.985386788845062,-8.24202728271484,0.932490170001984,2095.72875976562,7.04723072052002,20.9167366027832,0.212732046842575,0.525080621242523,0.0952083095908165,0.474225848913193,405.36181640625,228.952346801758,23.6110210418701,54.2707443237305
"5178","1",0.0246913582086563,35640566,254465,4179045,-0.315286189317703,-4.54375076293945,0.583323180675507,3444.2412109375,4.99339771270752,14.6113557815552,0.466233640909195,0.532063901424408,0.02012206800282,0.407345056533813,1073.92932128906,496.449188232422,18.2047023773193,52.2999877929688
"5179","1",0.123456791043282,21091187,345455,4408185,-0.230946108698845,-9.29256057739258,0.793848156929016,2854.61328125,6.46263074874878,18.621509552002,0.645893335342407,0.543844699859619,0.0571842938661575,0.488308250904083,859.293212890625,296.236907958984,21.8613033294678,54.366828918457
"5180","1",0.851851880550385,25771129,287585,4334475,-0.764873087406158,-16.9804286956787,0.788386583328247,2427.73950195312,6.80092144012451,22.4998531341553,0.451684892177582,0.517346382141113,0.065268874168396,0.465340584516525,649.528381347656,280.954803466797,22.7909469604492,51.2256278991699
"5181","1",0.0370370373129845,15834780,470825,4490985,1.92875373363495,4.18822050094604,0.556502997875214,2039.77697753906,6.01725625991821,15.2812166213989,0.623982429504395,0.545524418354034,0.0780688747763634,0.697205305099487,399.063262939453,370.324127197266,20.9765529632568,51.1427917480469
