"aspen.presence","aspen.prob","cell","x","y","tpi3","tpi15","hli","elev","pH","clay","om","thetas","ADI","PRATIO","GSPDD5","GSP","TD","DD_0","RH"
"0",0,17114541,434915,4470825,1.3013619184494,20.8937320709229,0.405013561248779,3666.37084960938,4.96768951416016,12.0874652862549,0.636535942554474,0.506319463253021,0.0168927442282438,0.418704301118851,165.142166137695,466.124359130859,19.9416217803955,1625.5458984375,52.8628349304199
"0",0,27095797,178505,4313595,0.260136991739273,5.03548288345337,0.772870600223541,2650.0126953125,6.93467903137207,18.8677558898926,0.334044307470322,0.497890502214432,0.0740115642547607,0.499693930149078,425.597686767578,267.875030517578,22.4582195281982,526.444885253906,54.2397689819336
"0",0,42969890,496925,4063665,-0.748597383499146,-2.46967601776123,0.646874606609344,2400.455078125,6.57347249984741,18.0258159637451,0.25512108206749,0.493328750133514,0.0907151028513908,0.743792474269867,686.109130859375,358.9072265625,20.099702835083,323.804504394531,47.8340339660645
"0",0,12198255,310175,4548225,-0.124785177409649,-1.87671077251434,0.767683804035187,2255.1220703125,7.04181623458862,17.2801074981689,0.267612814903259,0.503609955310822,0.068327970802784,0.402418851852417,353.357177734375,231.211227416992,23.8679885864258,728.41064453125,52.1104354858398
"0",0,36109122,247805,4171665,0.732595205307007,16.9708862304688,0.896500408649445,3390.787109375,5.86161708831787,16.0757427215576,0.646935999393463,0.571186065673828,0.0266481414437294,0.423031091690063,320.474670410156,434.704406738281,18.4445533752441,922.690246582031,52.9563255310059
"0",0,10523642,299555,4574595,0.00530809769406915,0.120126985013485,0.750044584274292,2229.1162109375,7.32906818389893,14.075722694397,-0.0500760897994041,0.503574907779694,0.0762500837445259,0.426631242036819,378.421142578125,227.795379638672,24.4357070922852,684.96923828125,56.6534576416016
"0",0,34379862,462455,4198935,0.159800946712494,4.08136796951294,0.742812514305115,2732.46752929688,6.6536808013916,12.7348136901855,0.43070861697197,0.504084825515747,0.0611169189214706,0.586990356445312,439.724609375,347.674865722656,20.4705772399902,638.935913085938,51.4677734375
"0",0,40258543,277595,4106325,0.741365492343903,13.5256395339966,0.785112679004669,2086.5224609375,7.54249668121338,29.0609130859375,0.0137795368209481,0.502675235271454,0.112525075674057,0.496789008378983,482.383331298828,211.852127075195,24.0676364898682,354.626037597656,47.6790313720703
"0",0,32983754,314135,4220895,-0.462598770856857,-4.85043573379517,0.818545758724213,3327.990234375,6.45099449157715,19.7704849243164,0.409669190645218,0.525659680366516,0.0436027385294437,0.483237832784653,226.167068481445,305.8291015625,20.5867786407471,1109.84130859375,49.6773223876953
"0",0,19938047,461555,4426365,0.57932722568512,10.3567953109741,0.815660059452057,2508.2294921875,5.55594825744629,11.911828994751,0.51802670955658,0.51417464017868,0.0722450464963913,0.677211880683899,539.853393554688,362.067932128906,20.3885936737061,479.440612792969,56.4797248840332
"0",0,8879876,493415,4600515,-0.0570583119988441,0.379162490367889,0.718714475631714,1975.5966796875,7.67853260040283,20.2835235595703,0.321308374404907,0.531563341617584,0.105125211179256,0.723623037338257,582.344787597656,302.179229736328,23.0294799804688,421.820098876953,54.0202827453613
"0",0,46787536,499265,4003545,-0.00836794916540384,-1.18720400333405,0.753611981868744,2167.65356445312,7.17033958435059,24.4031829833984,0.196562305092812,0.495205283164978,0.0970270857214928,0.793683528900146,754.297058105469,369.295135498047,19.9065475463867,273.363128662109,46.2849960327148
"0",0,46044146,459665,4015245,0.667980372905731,13.2717866897583,0.796035706996918,3278.30419921875,5.88616609573364,15.7548742294312,0.863740622997284,0.535338401794434,0.0388579294085503,0.525526583194733,449.930816650391,428.484649658203,19.1260375976562,706.938171386719,55.7264137268066
"0",0,37669233,240245,4147095,-0.724472105503082,-14.4530248641968,0.521773397922516,3074.45971679688,5.96401834487915,16.1463375091553,0.652406275272369,0.571351706981659,0.0330513268709183,0.422703832387924,424.637878417969,412.460693359375,19.0702800750732,699.803955078125,55.635669708252
"0",0,30062302,216305,4266885,0.540363669395447,14.5679979324341,0.744413435459137,2226.42309570312,7.33629369735718,19.9883937835693,-0.0502606891095638,0.508881688117981,0.128101497888565,0.567013561725616,471.939605712891,212.444412231445,24.1063098907471,370.960540771484,54.4091377258301
"0",0,17897816,463715,4458495,0.677587509155273,16.0600471496582,0.96457177400589,2505.51733398438,6.36425447463989,19.8610668182373,0.167273417115211,0.509231388568878,0.0718972682952881,0.6483154296875,504.712280273438,345.106964111328,20.4491176605225,512.551086425781,56.4975433349609
"0",0,35166828,309095,4186515,-0.438589364290237,-9.82613563537598,0.743248999118805,3169.67993164062,5.83344125747681,17.2225646972656,0.43996861577034,0.554053723812103,0.0425102524459362,0.508632302284241,255.800643920898,332.194946289062,20.2306995391846,1051.25244140625,44.2631721496582
"0",0,45032559,456785,4031175,0.112195037305355,1.74218821525574,0.861311316490173,2682.98876953125,6.69304656982422,16.3741931915283,0.00895360857248306,0.492817431688309,0.0777157619595528,0.569183468818665,463.190216064453,297.142822265625,20.6560897827148,497.093811035156,50.9961891174316
"0",0,20572240,446075,4416375,0.260733664035797,1.15400445461273,0.582914888858795,3095.77416992188,5.36145401000977,10.2023906707764,0.571116983890533,0.539823353290558,0.0343605689704418,0.51047545671463,347.587768554688,425.94775390625,20.2787647247314,1009.25866699219,55.2639579772949
"0",0,35138330,316025,4186965,-0.607208609580994,-4.50802516937256,0.93545800447464,3094.9501953125,6.11761093139648,16.609655380249,0.291225790977478,0.521686315536499,0.0491727702319622,0.526390373706818,249.262542724609,318.403778076172,20.9848327636719,1082.07934570312,44.3241500854492
"0",0,5576416,476315,4652535,-0.301957786083221,-5.74344301223755,0.796670019626617,1857.22436523438,6.25978565216064,22.1790924072266,0.275302886962891,0.512811005115509,0.109475240111351,0.714176118373871,534.188415527344,283.773712158203,23.9661026000977,505.487884521484,55.0248260498047
"0",0,46461056,434015,4008675,1.49949944019318,15.2917776107788,0.755995213985443,2432.74169921875,6.81873559951782,18.5770473480225,0.0977836325764656,0.468831032514572,0.0961756929755211,0.551478564739227,453.124816894531,249.156387329102,20.589391708374,373.098175048828,51.0468063354492
"0",0,44415289,452285,4040895,0.135869801044464,-0.454254448413849,0.931733131408691,2509.68212890625,7.37637233734131,19.0949268341064,0.180835321545601,0.492143988609314,0.0925044044852257,0.583382546901703,479.988342285156,266.801971435547,21.2965393066406,420.711822509766,50.1100158691406
"0",0,3718710,446525,4681785,-0.284646093845367,-1.33002758026123,0.854662239551544,2503.30249023438,6.40184831619263,18.9970989227295,0.215580552816391,0.5138920545578,0.0591383501887321,0.54090940952301,384.758850097656,318.362152099609,24.463752746582,997.694946289062,54.9245910644531
